Station,Name,State,Latitude,Longitude,MTS Jan,MTS Feb,MTS Mar,MTS Apr,MTS May,MTS Jun,MTS Jul,MTS Aug,MTS Sep,MTS Oct,MTS Nov,MTS Dec,Events Jan,Events Feb,Events Mar,Events Apr,Events May,Events Jun,Events Jul,Events Aug,Events Sep,Events Oct,Events Nov,Events Dec,MinTemp Jan,MinTemp Feb,MinTemp Mar,MinTemp Apr,MinTemp May,MinTemp Jun,MinTemp Jul,MinTemp Aug,MinTemp Sep,MinTemp Oct,MinTemp Nov,MinTemp Dec
USC00393076,FT PIERRE 17 WSW,SD,44.2444,-100.6592,5.3,5.8,5.6,4.5,0.1,0,0,0,0,0.9,4.3,5.3,1.6,1.6,1.7,1.3,0,0,0,0,0,0.2,1.3,1.6,8.4,13,23,33.9,45.5,55.5,61.1,59.2,48.1,34.7,20.9,10
USC00393217,GANN VALLEY 4NW                    HCN,SD,44.0569,-99.0719,4.5,7.2,8.3,4.7,0,0,0,0,0,0.4,4.2,5.3,1.6,1.9,1.7,1,0,0,0,0,0,0.2,1.5,2.1,5,9.4,20.1,32,44.3,54.6,60.5,58.2,47.3,33.7,20.2,7.8
USC00393294,GETTYSBURG,SD,45.0194,-99.9403,5.2,9.2,8.1,3.7,0,0,0,0,0,0.6,4.4,7.9,2.2,2.7,2,0.9,0,0,0,0,0,0.3,1.5,2.2,3.5,7.7,18.2,31.1,43,53,58.7,56.4,45.9,32.5,18.9,6.8
USC00393452,GREGORY,SD,43.2356,-99.4339,6.7,6.5,8.1,4.5,0,0,0,0,0.4,1.4,9.2,8.5,2.6,2.2,2,1,0,0,0,0,0,0.3,1.9,2.6,9.8,13.1,22.6,34.2,45.5,55.8,61.7,59.5,49.2,35.5,22.7,11.9
USC00393574,HARRINGTON,SD,43.1647,-101.2567,5.8,6.7,9.8,6.1,0.3,0,0,0,0.2,3.4,9.4,6.7,3.4,3.8,3.8,2.2,0.1,0,0,0,0.1,1,3.4,3,11.4,14.9,23.2,32.3,43.4,53.1,59.3,57.2,47.3,34.5,21.6,11.6
USC00393608,HARROLD 12 SSW,SD,44.3628,-99.8033,4.2,7.2,8.6,5.3,0.3,0,0,0,0,0.7,7.4,8.5,2.6,2.7,2.8,1,0.1,0,0,0,0,0.3,2.7,3.5,3.8,8.2,19.3,29.6,42,52.4,58.2,56.3,45.2,31.1,18.5,6.1
USC00393868,HILL CITY,SD,43.9325,-103.5594,5.1,7,11.3,12.3,2.7,0.3,0,0,0.7,4.9,7.5,6.3,2.1,2.5,3.6,3.6,0.8,0.1,0,0,0.2,1.7,2.6,2.6,13.6,14.2,21.9,29.3,39.3,47.7,53.2,51,40.9,31.1,20.8,12
USC00394007,HOT SPRINGS                        HCN,SD,43.4378,-103.4739,4.3,4,5.9,3.8,0.2,0,0,0,0.1,1,3,5.2,2,2,2.1,1.1,0.1,0,0,0,0.1,0.3,1.4,2.1,14.4,16.1,23.7,31.7,42,50.6,57.2,55.6,45,33.7,22.9,13.9
USC00394184,INTERIOR 3 NE,SD,43.7483,-101.9414,3.7,5.6,6.2,4.3,0,0,0,0,0,0.5,2.3,5.4,1.8,2,2.3,1,0,0,0,0,0,0.3,1.4,2.1,15.6,17.9,26.6,36.2,47.1,56.4,63.1,61.6,50.9,38.6,25.9,16.2
USC00394206,IPSWICH,SD,45.4478,-99.0383,5.5,6,5.6,2.7,0,0,0,0,0,0.4,5.6,4.9,2.5,2.6,2.2,0.9,0,0,0,0,0,0.1,2.2,2.4,3.3,8.2,19.6,32,44.1,54.2,59.5,56.8,46.1,33.4,19.5,7.2
